"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","HASC_1","CCN_1","CCA_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,159,"NCL","New Caledonia",1,"Îles Loyauté","NC.IL",NA,"","Province","Province","","Loyalty Islands|Islas de la Lealtad"
2,159,"NCL","New Caledonia",2,"Nord","NC.NO",NA,"","Province","Province","",""
3,159,"NCL","New Caledonia",3,"Sud","NC.SU",NA,"","Province","Province","",""
