id,taxon_id,x,y
66531,3221,165.308983,-21.4182167
66532,7934,165.308983,-21.4182167
66533,1261,165.308983,-21.4182167
66534,5608,165.308983,-21.4182167
66535,8253,165.308983,-21.4182167
83242,9875,165.308983,-21.4182167
68055,1261,164.3342355452,-20.5242043734
68056,2623,164.3342355452,-20.5242043734
68057,7541,164.3342355452,-20.5242043734
68058,7850,164.3342355452,-20.5242043734
68059,5975,164.3342355452,-20.5242043734
83279,2212,164.3342355452,-20.5242043734
83280,174,164.3342355452,-20.5242043734
83281,9457,164.3342355452,-20.5242043734
68060,1261,164.6930561028,-20.7816320658
68061,7850,164.6930561028,-20.7816320658
68062,3359,164.6930561028,-20.7816320658
68063,6885,164.6930561028,-20.7816320658
68064,6273,164.6930561028,-20.7816320658
68065,5477,164.6930561028,-20.7816320658
68066,4998,164.6930561028,-20.7816320658
68067,5133,164.6930561028,-20.7816320658
68068,5128,164.6930561028,-20.7816320658
68069,2593,164.6930561028,-20.7816320658
68070,7256,164.6930561028,-20.7816320658
68071,5404,164.6930561028,-20.7816320658
83390,8225,164.6930561028,-20.7816320658
83243,9540,164.3039239012,-20.455416441
83244,7859,164.3039239012,-20.455416441
83245,6885,164.3039239012,-20.455416441
83246,8046,164.3039239012,-20.455416441
83247,8015,164.3039239012,-20.455416441
83248,9781,164.3039239012,-20.455416441
83249,9457,164.3039239012,-20.455416441
83250,9526,164.3039239012,-20.455416441
83251,9772,164.3039239012,-20.455416441
83252,1261,164.3039239012,-20.455416441
83253,3556,164.3039239012,-20.455416441
83254,7309,164.3039239012,-20.455416441
83255,5093,164.3039239012,-20.455416441
83256,2743,164.3039239012,-20.455416441
83257,9845,164.3039239012,-20.455416441
83258,9332,164.3039239012,-20.455416441
83259,174,164.303870257,-20.4508030415
83260,8581,164.303870257,-20.4508030415
83261,3564,164.303870257,-20.4508030415
83262,6273,164.303870257,-20.4508030415
83263,7541,164.303870257,-20.4508030415
83264,2623,164.303870257,-20.4508030415
83265,5128,164.303870257,-20.4508030415
83266,9348,164.303870257,-20.4508030415
83267,7256,164.303870257,-20.4508030415
83268,5975,164.303870257,-20.4508030415
83269,4013,164.303870257,-20.4508030415
83270,2212,164.303870257,-20.4508030415
83271,7981,165.1943824254,-21.133902669
83282,9836,165.1943824254,-21.133902669
83272,5502,165.1925853454,-21.1158138514
83273,6273,165.1925853454,-21.1158138514
83274,1261,165.1925853454,-21.1158138514
83275,5477,165.1925853454,-21.1158138514
83276,7435,165.1921883784,-21.1260277033
83277,3359,165.1921883784,-21.1260277033
83283,7936,165.1493902132,-21.1501300335
83284,2476,165.1493902132,-21.1501300335
83285,6273,165.1493902132,-21.1501300335
83286,5799,165.5812749825,-21.4841938019
83287,6273,165.5812749825,-21.4841938019
83288,3158,165.5812749825,-21.4841938019
83289,8247,165.5812749825,-21.4841938019
83290,4032,165.5812749825,-21.4841938019
83291,8916,165.5812749825,-21.4841938019
83292,2928,165.5812749825,-21.4841938019
83293,1261,165.5812749825,-21.4841938019
83294,3571,165.5812749825,-21.4841938019
83295,7658,165.5812749825,-21.4841938019
83296,7635,165.5812749825,-21.4841938019
83297,9805,165.5812749825,-21.4841938019
83298,5456,165.5812749825,-21.4841938019
83299,7936,165.5812749825,-21.4841938019
83300,5468,165.5812749825,-21.4841938019
