plot_id,occurrence_id
37,66531
37,66532
37,66533
37,66534
37,66535
38,68055
38,68056
38,68057
38,68058
38,68059
39,68060
39,68061
39,68062
39,68063
39,68064
39,68065
39,68066
39,68067
39,68068
39,68069
39,68070
39,68071
37,83242
41,83243
41,83244
41,83245
41,83246
41,83247
41,83248
41,83249
41,83250
41,83251
41,83252
41,83253
41,83254
41,83255
41,83256
41,83257
41,83258
42,83259
42,83260
42,83261
42,83262
42,83263
42,83264
42,83265
42,83266
42,83267
42,83268
42,83269
42,83270
43,83271
44,83272
44,83273
44,83274
44,83275
45,83276
45,83277
38,83279
38,83280
38,83281
43,83282
47,83283
47,83284
47,83285
48,83286
48,83287
48,83288
48,83289
48,83290
48,83291
48,83292
48,83293
48,83294
48,83295
48,83296
48,83297
48,83298
48,83299
48,83300
49,83301
49,83302
49,83303
49,83304
49,83305
49,83306
49,83307
49,83308
50,83309
50,83310
50,83311
50,83312
50,83313
50,83314
50,83315
50,83316
50,83317
50,83318
50,83319
50,83320
51,83321
51,83322
51,83323
51,83324
51,83325
51,83326
51,83327
51,83328
51,83329
51,83330
51,83331
51,83332
51,83333
51,83334
51,83335
51,83336
51,83337
52,83338
52,83339
52,83340
54,83341
54,83342
54,83343
54,83344
54,83345
55,83346
55,83347
55,83348
55,83349
55,83350
55,83351
56,83352
56,83353
56,83354
56,83355
56,83356
56,83357
56,83358
54,83359
57,83360
57,83361
57,83362
57,83363
57,83364
57,83365
57,83366
57,83367
57,83368
57,83369
58,83370
58,83371
58,83372
58,83373
58,83374
58,83375
58,83376
58,83377
58,83378
58,83379
59,83380
59,83381
59,83382
59,83383
59,83384
59,83385
59,83386
59,83387
59,83388
39,83390
61,88882
61,88883
61,88884
61,88885
62,88886
62,88887
62,88888
62,88889
62,88890
62,88891
62,88892
62,88893
62,88894
62,88895
62,88896
62,88897
62,88898
62,88899
62,88900
62,88901
62,88902
62,88903
62,88904
62,88905
62,88906
62,88907
64,88930
64,88931
64,88932
64,88933
64,88934
64,88935
64,88936
64,88937
64,88938
64,88939
64,88940
64,88941
64,88942
64,88943
64,88944
65,88952
65,88950
65,88949
65,88948
65,88947
65,88946
65,88945
65,88953
65,88954
63,88929
63,88928
63,88927
63,88926
63,88925
63,88924
63,88923
63,88922
63,88921
63,88920
63,88919
63,88918
63,88917
63,88916
63,88915
63,88914
63,88913
63,88912
63,88911
63,88910
63,88909
63,88908
66,88955
66,88956
66,88957
66,88958
66,88959
66,88960
66,88961
66,88962
67,88963
67,88964
67,88965
67,88966
67,88967
67,88968
67,88969
67,88970
67,88971
67,88972
67,88973
67,88974
67,88975
67,88976
68,88977
68,88978
68,88979
68,88980
68,88981
68,88982
68,88983
68,88984
72,89024
72,89025
72,89026
72,89027
72,89028
72,89029
72,89030
72,89031
72,89032
72,89033
72,89034
72,89035
72,89036
72,89037
72,89038
72,89039
72,89040
72,89041
72,89042
72,89043
72,89044
73,89045
73,89046
73,89047
73,89048
73,89049
73,89050
73,89051
73,89052
73,89053
73,89054
73,89055
73,89056
74,89062
74,89061
74,89060
74,89059
74,89058
74,89057
71,89013
71,89014
71,89015
71,89016
71,89017
71,89018
71,89019
71,89020
71,89021
71,89022
71,89023
69,88985
69,88986
69,88987
69,88988
69,88989
69,88990
69,88991
69,88992
69,88993
69,88994
69,88995
69,88996
69,88997
69,88998
69,88999
69,89000
69,89001
69,89002
69,89003
69,89004
69,89005
70,89006
70,89007
70,89008
70,89009
70,89010
70,89011
70,89012
75,89063
75,89064
75,89065
75,89066
75,89067
75,89068
75,89069
75,89070
75,89071
75,89072
75,89073
75,89074
75,89075
75,89076
75,89077
75,89078
75,89079
75,89080
75,89081
75,89082
75,89083
75,89084
75,89085
75,89086
75,89087
75,89088
76,89089
76,89090
76,89091
76,89092
76,89093
76,89094
76,89095
76,89096
76,89097
76,89098
76,89099
77,89100
77,89101
77,89102
77,89103
77,89104
77,89105
77,89106
77,89107
77,89108
77,89109
77,89110
77,89111
77,89112
77,89113
77,89114
77,89115
77,89116
77,89117
77,89118
77,89119
77,89120
77,89121
77,89122
78,89123
78,89124
78,89125
78,89126
78,89127
78,89128
78,89129
78,89130
78,89131
78,89132
78,89133
78,89134
78,89135
78,89136
78,89137
78,89138
78,89139
78,89140
78,89141
78,89142
78,89143
78,89144
78,89145
79,89146
79,89147
79,89148
79,89149
79,89150
79,89151
79,89152
79,89153
79,89154
79,89155
79,89156
79,89157
79,89158
79,89159
80,89160
80,89161
80,89162
80,89163
80,89164
80,89165
80,89166
80,89167
80,89168
80,89169
80,89170
80,89171
80,89172
80,89173
80,89174
80,89175
80,89176
80,89177
80,89178
80,89179
80,89180
80,89181
80,89182
80,89183
80,89184
82,89193
82,89194
82,89195
82,89196
82,89197
82,89198
82,89199
82,89200
83,89201
83,89202
83,89203
81,89192
81,89191
81,89190
81,89189
81,89188
81,89187
81,89186
81,89185
81,89204
81,89205
81,89206
81,89207
81,89208
81,89209
81,89210
84,89211
84,89212
84,89213
84,89214
84,89215
85,89216
85,89217
85,89218
85,89219
85,89220
85,89221
85,89222
85,89223
85,89224
85,89225
85,89226
86,89227
86,89228
86,89229
86,89230
86,89231
86,89232
86,89233
86,89234
86,89235
86,89236
86,89237
86,89238
86,89239
86,89240
86,89241
86,89242
86,89243
86,89244
87,89245
87,89246
87,89247
87,89248
87,89249
87,89250
87,89251
87,89252
87,89253
87,89254
87,89255
87,89256
87,89257
87,89258
87,89259
87,89260
87,89261
87,89262
87,89263
87,89264
87,89265
87,89266
87,89267
87,89268
87,89269
87,89270
88,89271
88,89272
88,89273
88,89274
88,89275
88,89276
88,89277
88,89278
88,89279
88,89280
88,89281
88,89282
88,89283
88,89284
88,89285
88,89286
88,89287
88,89288
88,89289
88,89290
88,89291
88,89292
88,89293
88,89294
88,89295
88,89296
88,89297
89,89298
89,89299
89,89300
89,89301
89,89302
89,89303
89,89304
89,89305
89,89306
89,89307
89,89308
89,89309
89,89310
89,89311
89,89312
89,89313
89,89314
89,89315
89,89316
89,89317
89,89318
89,89319
89,89320
89,89321
90,89322
90,89323
90,89324
90,89325
90,89326
90,89327
90,89328
90,89329
90,89330
90,89331
90,89332
90,89333
90,89334
90,89335
90,89336
90,89337
90,89338
90,89339
90,89340
90,89341
90,89342
90,89343
90,89344
90,89345
90,89346
90,89347
90,89348
90,89349
90,89350
90,89351
90,89352
90,89353
90,89354
90,89355
91,89356
91,89357
91,89358
91,89359
91,89360
91,89361
91,89362
91,89363
91,89364
91,89365
91,89366
91,89367
91,89368
91,89369
91,89370
91,89371
91,89372
91,89373
91,89374
91,89375
91,89376
91,89377
91,89378
92,89379
92,89380
