occurrence_id,occurrence_identifier
88900,taxa_inventory_occ_88900
88901,taxa_inventory_occ_88901
88902,taxa_inventory_occ_88902
88903,taxa_inventory_occ_88903
88904,taxa_inventory_occ_88904
88905,taxa_inventory_occ_88905
88906,taxa_inventory_occ_88906
88907,taxa_inventory_occ_88907
88930,taxa_inventory_occ_88930
88931,taxa_inventory_occ_88931
88932,taxa_inventory_occ_88932
88933,taxa_inventory_occ_88933
88934,taxa_inventory_occ_88934
88935,taxa_inventory_occ_88935
88936,taxa_inventory_occ_88936
88937,taxa_inventory_occ_88937
88938,taxa_inventory_occ_88938
88939,taxa_inventory_occ_88939
88940,taxa_inventory_occ_88940
88941,taxa_inventory_occ_88941
88942,taxa_inventory_occ_88942
88943,taxa_inventory_occ_88943
88944,taxa_inventory_occ_88944
88952,taxa_inventory_occ_88952
88950,taxa_inventory_occ_88950
88949,taxa_inventory_occ_88949
88948,taxa_inventory_occ_88948
88947,taxa_inventory_occ_88947
88946,taxa_inventory_occ_88946
88945,taxa_inventory_occ_88945
88953,taxa_inventory_occ_88953
88954,taxa_inventory_occ_88954
88929,taxa_inventory_occ_88929
88928,taxa_inventory_occ_88928
88927,taxa_inventory_occ_88927
88926,taxa_inventory_occ_88926
88925,taxa_inventory_occ_88925
88924,taxa_inventory_occ_88924
88923,taxa_inventory_occ_88923
88922,taxa_inventory_occ_88922
88921,taxa_inventory_occ_88921
88920,taxa_inventory_occ_88920
88919,taxa_inventory_occ_88919
88918,taxa_inventory_occ_88918
88917,taxa_inventory_occ_88917
88916,taxa_inventory_occ_88916
88915,taxa_inventory_occ_88915
88914,taxa_inventory_occ_88914
88913,taxa_inventory_occ_88913
88912,taxa_inventory_occ_88912
88911,taxa_inventory_occ_88911
88910,taxa_inventory_occ_88910
88909,taxa_inventory_occ_88909
88908,taxa_inventory_occ_88908
88955,taxa_inventory_occ_88955
88956,taxa_inventory_occ_88956
88957,taxa_inventory_occ_88957
88958,taxa_inventory_occ_88958
88959,taxa_inventory_occ_88959
88960,taxa_inventory_occ_88960
88961,taxa_inventory_occ_88961
88962,taxa_inventory_occ_88962
88963,taxa_inventory_occ_88963
88964,taxa_inventory_occ_88964
88965,taxa_inventory_occ_88965
88966,taxa_inventory_occ_88966
88967,taxa_inventory_occ_88967
88968,taxa_inventory_occ_88968
88969,taxa_inventory_occ_88969
88970,taxa_inventory_occ_88970
88971,taxa_inventory_occ_88971
88972,taxa_inventory_occ_88972
88973,taxa_inventory_occ_88973
88974,taxa_inventory_occ_88974
88975,taxa_inventory_occ_88975
88976,taxa_inventory_occ_88976
88977,taxa_inventory_occ_88977
88978,taxa_inventory_occ_88978
88979,taxa_inventory_occ_88979
88980,taxa_inventory_occ_88980
88981,taxa_inventory_occ_88981
88982,taxa_inventory_occ_88982
88983,taxa_inventory_occ_88983
88984,taxa_inventory_occ_88984
89024,taxa_inventory_occ_89024
89025,taxa_inventory_occ_89025
89026,taxa_inventory_occ_89026
89027,taxa_inventory_occ_89027
89028,taxa_inventory_occ_89028
89029,taxa_inventory_occ_89029
89030,taxa_inventory_occ_89030
89031,taxa_inventory_occ_89031
89032,taxa_inventory_occ_89032
89033,taxa_inventory_occ_89033
89034,taxa_inventory_occ_89034
89035,taxa_inventory_occ_89035
89036,taxa_inventory_occ_89036
89037,taxa_inventory_occ_89037
89038,taxa_inventory_occ_89038
89039,taxa_inventory_occ_89039
89040,taxa_inventory_occ_89040
89041,taxa_inventory_occ_89041
89042,taxa_inventory_occ_89042
89043,taxa_inventory_occ_89043
89044,taxa_inventory_occ_89044
89045,taxa_inventory_occ_89045
89046,taxa_inventory_occ_89046
89047,taxa_inventory_occ_89047
89048,taxa_inventory_occ_89048
89049,taxa_inventory_occ_89049
89050,taxa_inventory_occ_89050
89051,taxa_inventory_occ_89051
89052,taxa_inventory_occ_89052
89053,taxa_inventory_occ_89053
89054,taxa_inventory_occ_89054
89055,taxa_inventory_occ_89055
89056,taxa_inventory_occ_89056
89062,taxa_inventory_occ_89062
89061,taxa_inventory_occ_89061
89060,taxa_inventory_occ_89060
89059,taxa_inventory_occ_89059
89058,taxa_inventory_occ_89058
89057,taxa_inventory_occ_89057
89013,taxa_inventory_occ_89013
89014,taxa_inventory_occ_89014
89015,taxa_inventory_occ_89015
89016,taxa_inventory_occ_89016
89017,taxa_inventory_occ_89017
89018,taxa_inventory_occ_89018
89019,taxa_inventory_occ_89019
89020,taxa_inventory_occ_89020
89021,taxa_inventory_occ_89021
89022,taxa_inventory_occ_89022
89023,taxa_inventory_occ_89023
88985,taxa_inventory_occ_88985
88986,taxa_inventory_occ_88986
88987,taxa_inventory_occ_88987
88988,taxa_inventory_occ_88988
88989,taxa_inventory_occ_88989
88990,taxa_inventory_occ_88990
88991,taxa_inventory_occ_88991
88992,taxa_inventory_occ_88992
88993,taxa_inventory_occ_88993
88994,taxa_inventory_occ_88994
88995,taxa_inventory_occ_88995
88996,taxa_inventory_occ_88996
88997,taxa_inventory_occ_88997
88998,taxa_inventory_occ_88998
88999,taxa_inventory_occ_88999
89000,taxa_inventory_occ_89000
89001,taxa_inventory_occ_89001
89002,taxa_inventory_occ_89002
89003,taxa_inventory_occ_89003
89004,taxa_inventory_occ_89004
89005,taxa_inventory_occ_89005
89006,taxa_inventory_occ_89006
89007,taxa_inventory_occ_89007
89008,taxa_inventory_occ_89008
89009,taxa_inventory_occ_89009
89010,taxa_inventory_occ_89010
89011,taxa_inventory_occ_89011
89012,taxa_inventory_occ_89012
89063,taxa_inventory_occ_89063
89064,taxa_inventory_occ_89064
89065,taxa_inventory_occ_89065
89066,taxa_inventory_occ_89066
89067,taxa_inventory_occ_89067
89068,taxa_inventory_occ_89068
89069,taxa_inventory_occ_89069
89070,taxa_inventory_occ_89070
89071,taxa_inventory_occ_89071
89072,taxa_inventory_occ_89072
89073,taxa_inventory_occ_89073
89074,taxa_inventory_occ_89074
89075,taxa_inventory_occ_89075
89076,taxa_inventory_occ_89076
89077,taxa_inventory_occ_89077
89078,taxa_inventory_occ_89078
89079,taxa_inventory_occ_89079
89080,taxa_inventory_occ_89080
89081,taxa_inventory_occ_89081
89082,taxa_inventory_occ_89082
89083,taxa_inventory_occ_89083
89084,taxa_inventory_occ_89084
89085,taxa_inventory_occ_89085
89086,taxa_inventory_occ_89086
89087,taxa_inventory_occ_89087
89088,taxa_inventory_occ_89088
89089,taxa_inventory_occ_89089
89090,taxa_inventory_occ_89090
89091,taxa_inventory_occ_89091
